Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
Australia,6.7,4.294736842105263,84.0,12.5,73.0,67.0,0.9,37433.0,528768.0,19.4,3.1,83.0,7.1,1.0,55206.0,93.0,1.657894736842105,85.0,2.7,499.0,14.36,92.0,92.0,20.0
Austria,12.2,0.8,86.0,5.3,72.0,86.0,0.5,37001.0,309637.0,20.8,2.3,82.0,7.2,1.3,53132.0,92.0,1.6,71.0,1.3,491.0,14.51,76.0,92.0,17.0
Belgium,12.8,0.7,80.0,4.3,65.0,56.0,1.1,34884.0,447607.0,20.0,2.4,82.1,6.8,2.3,54327.0,90.0,2.1,74.0,2.0,500.0,15.52,88.0,79.0,19.0
Brazil,11.7,6.7,57.0,5.6,57.0,45.0,19.0,29573.114285714284,323959.6206896552,20.345945945945946,5.18235294117647,75.9,6.1,2.1358974358974363,43783.57142857143,83.0,1.657894736842105,67.94871794871794,2.2,400.0,15.069090909090908,80.0,70.0,16.0
Canada,7.1,0.2,92.0,3.3,70.0,78.0,1.2,34421.0,478240.0,22.9,3.8,82.1,7.0,0.5,55342.0,93.0,2.6,89.0,2.9,517.0,14.57,68.0,90.0,17.0
Chile,23.4,9.4,67.0,7.7,56.0,41.0,2.4,29573.114285714284,135787.0,18.4,7.0,80.6,6.2,2.1358974358974363,26729.0,88.0,1.9,60.0,1.3,438.0,15.069090909090908,47.0,62.0,17.0
Colombia,22.6,12.3,59.0,23.7,58.0,50.0,23.1,29573.114285714284,323959.6206896552,20.345945945945946,5.18235294117647,76.7,5.7,1.1,43783.57142857143,80.0,1.0,80.0,1.4,406.0,15.069090909090908,53.0,82.0,14.0
Costa Rica,17.5,2.3,43.0,22.0,55.0,47.0,10.0,16517.0,323959.6206896552,17.0,5.18235294117647,80.5,6.3,1.5,43783.57142857143,82.0,1.2,73.0,1.8,415.0,15.069090909090908,66.0,87.0,17.487179487179485
Czech Republic,17.0,0.5,94.0,4.5,74.0,77.0,0.7,26664.0,323959.6206896552,23.4,2.3,79.3,6.9,0.6,29885.0,96.0,1.5,62.0,1.6,495.0,15.069090909090908,62.0,89.0,18.0
Denmark,10.0,0.5,82.0,1.1,74.0,85.0,0.5,33774.0,149864.0,23.3,4.5,81.5,7.5,0.9,58430.0,95.0,1.9,70.0,2.0,501.0,15.069090909090908,85.0,93.0,19.0
