,Country,Indicator,Value
0,Australia,Labour market insecurity,3.1
1,Austria,Labour market insecurity,2.3
2,Belgium,Labour market insecurity,2.4
3,Canada,Labour market insecurity,3.8
4,Czech Republic,Labour market insecurity,2.3
5,Denmark,Labour market insecurity,4.5
6,Finland,Labour market insecurity,2.2
7,France,Labour market insecurity,3.1
8,Germany,Labour market insecurity,1.4
9,Greece,Labour market insecurity,21.7
10,Hungary,Labour market insecurity,3.8
11,Iceland,Labour market insecurity,1.0
12,Ireland,Labour market insecurity,2.6
13,Italy,Labour market insecurity,8.6
14,Japan,Labour market insecurity,2.7
15,Korea,Labour market insecurity,2.9
16,Luxembourg,Labour market insecurity,2.2
17,Mexico,Labour market insecurity,4.0
18,Netherlands,Labour market insecurity,2.5
19,New Zealand,Labour market insecurity,4.5
20,Norway,Labour market insecurity,2.8
21,Poland,Labour market insecurity,5.0
22,Portugal,Labour market insecurity,8.1
23,Slovak Republic,Labour market insecurity,8.8
24,Spain,Labour market insecurity,15.8
25,Sweden,Labour market insecurity,4.4
26,Türkiye,Labour market insecurity,13.0
27,United Kingdom,Labour market insecurity,3.3
28,United States,Labour market insecurity,4.2
29,Chile,Labour market insecurity,7.0
30,Estonia,Labour market insecurity,5.4
31,Israel,Labour market insecurity,4.6
32,Latvia,Labour market insecurity,6.3
33,Slovenia,Labour market insecurity,5.9
34,OECD - Total,Labour market insecurity,5.1
35,Australia,Stakeholder engagement for developing regulations,2.7
36,Austria,Stakeholder engagement for developing regulations,1.3
37,Belgium,Stakeholder engagement for developing regulations,2.0
38,Canada,Stakeholder engagement for developing regulations,2.9
39,Czech Republic,Stakeholder engagement for developing regulations,1.6
40,Denmark,Stakeholder engagement for developing regulations,2.0
41,Finland,Stakeholder engagement for developing regulations,2.2
42,France,Stakeholder engagement for developing regulations,2.1
43,Germany,Stakeholder engagement for developing regulations,1.8
44,Greece,Stakeholder engagement for developing regulations,1.8
45,Hungary,Stakeholder engagement for developing regulations,1.2
46,Iceland,Stakeholder engagement for developing regulations,2.1
47,Ireland,Stakeholder engagement for developing regulations,1.3
48,Italy,Stakeholder engagement for developing regulations,2.5
49,Japan,Stakeholder engagement for developing regulations,1.4
50,Korea,Stakeholder engagement for developing regulations,2.9
51,Luxembourg,Stakeholder engagement for developing regulations,1.7
52,Mexico,Stakeholder engagement for developing regulations,3.2
53,Netherlands,Stakeholder engagement for developing regulations,2.6
54,New Zealand,Stakeholder engagement for developing regulations,2.5
55,Norway,Stakeholder engagement for developing regulations,2.2
56,Poland,Stakeholder engagement for developing regulations,2.6
57,Portugal,Stakeholder engagement for developing regulations,1.5
58,Slovak Republic,Stakeholder engagement for developing regulations,3.0
59,Spain,Stakeholder engagement for developing regulations,1.8
60,Sweden,Stakeholder engagement for developing regulations,2.0
61,Switzerland,Stakeholder engagement for developing regulations,2.3
62,Türkiye,Stakeholder engagement for developing regulations,1.5
63,United Kingdom,Stakeholder engagement for developing regulations,3.1
64,United States,Stakeholder engagement for developing regulations,3.1
65,Brazil,Stakeholder engagement for developing regulations,2.2
66,Chile,Stakeholder engagement for developing regulations,1.3
67,Estonia,Stakeholder engagement for developing regulations,2.7
68,Israel,Stakeholder engagement for developing regulations,2.5
69,Latvia,Stakeholder engagement for developing regulations,2.2
70,Slovenia,Stakeholder engagement for developing regulations,2.5
71,OECD - Total,Stakeholder engagement for developing regulations,2.1
72,Austria,Dwellings without basic facilities,0.8
73,Belgium,Dwellings without basic facilities,0.7
74,Canada,Dwellings without basic facilities,0.2
75,Czech Republic,Dwellings without basic facilities,0.5
76,Denmark,Dwellings without basic facilities,0.5
77,Finland,Dwellings without basic facilities,0.4
78,France,Dwellings without basic facilities,0.5
79,Germany,Dwellings without basic facilities,0.1
80,Greece,Dwellings without basic facilities,0.4
81,Hungary,Dwellings without basic facilities,3.5
82,Iceland,Dwellings without basic facilities,0.0
83,Ireland,Dwellings without basic facilities,0.2
84,Italy,Dwellings without basic facilities,0.6
85,Japan,Dwellings without basic facilities,6.4
86,Korea,Dwellings without basic facilities,2.5
87,Luxembourg,Dwellings without basic facilities,0.1
88,Mexico,Dwellings without basic facilities,25.9
89,Netherlands,Dwellings without basic facilities,0.1
90,Norway,Dwellings without basic facilities,0.0
91,Poland,Dwellings without basic facilities,2.3
92,Portugal,Dwellings without basic facilities,0.9
93,Slovak Republic,Dwellings without basic facilities,1.5
94,Spain,Dwellings without basic facilities,0.3
95,Sweden,Dwellings without basic facilities,0.0
96,Switzerland,Dwellings without basic facilities,0.0
97,Türkiye,Dwellings without basic facilities,4.9
98,United Kingdom,Dwellings without basic facilities,0.5
99,United States,Dwellings without basic facilities,0.1
100,Brazil,Dwellings without basic facilities,6.7
101,Chile,Dwellings without basic facilities,9.4
102,Estonia,Dwellings without basic facilities,5.7
103,Latvia,Dwellings without basic facilities,11.2
104,Russia,Dwellings without basic facilities,13.8
105,Slovenia,Dwellings without basic facilities,0.2
106,South Africa,Dwellings without basic facilities,35.9
107,OECD - Total,Dwellings without basic facilities,3.0
108,Australia,Housing expenditure,19.4
109,Austria,Housing expenditure,20.8
110,Belgium,Housing expenditure,20.0
111,Canada,Housing expenditure,22.9
112,Czech Republic,Housing expenditure,23.4
113,Denmark,Housing expenditure,23.3
114,Finland,Housing expenditure,23.1
115,France,Housing expenditure,20.7
116,Germany,Housing expenditure,20.0
117,Greece,Housing expenditure,21.8
118,Hungary,Housing expenditure,19.9
119,Ireland,Housing expenditure,20.6
120,Italy,Housing expenditure,22.5
121,Japan,Housing expenditure,21.8
122,Korea,Housing expenditure,14.7
123,Luxembourg,Housing expenditure,20.7
124,Mexico,Housing expenditure,17.8
125,Netherlands,Housing expenditure,19.6
126,New Zealand,Housing expenditure,25.0
127,Norway,Housing expenditure,17.7
128,Poland,Housing expenditure,21.2
129,Portugal,Housing expenditure,19.6
130,Slovak Republic,Housing expenditure,27.4
131,Spain,Housing expenditure,21.7
132,Sweden,Housing expenditure,20.1
133,Switzerland,Housing expenditure,21.4
134,Türkiye,Housing expenditure,18.9
135,United Kingdom,Housing expenditure,23.2
136,United States,Housing expenditure,18.3
137,Chile,Housing expenditure,18.4
138,Estonia,Housing expenditure,17.0
139,Latvia,Housing expenditure,20.8
140,Russia,Housing expenditure,17.4
141,Slovenia,Housing expenditure,18.2
142,South Africa,Housing expenditure,18.1
143,OECD - Total,Housing expenditure,20.5
144,Australia,Feeling safe walking alone at night,67.0
145,Austria,Feeling safe walking alone at night,86.0
146,Belgium,Feeling safe walking alone at night,56.0
147,Canada,Feeling safe walking alone at night,78.0
148,Czech Republic,Feeling safe walking alone at night,77.0
149,Denmark,Feeling safe walking alone at night,85.0
150,Finland,Feeling safe walking alone at night,88.0
151,France,Feeling safe walking alone at night,74.0
152,Germany,Feeling safe walking alone at night,76.0
153,Greece,Feeling safe walking alone at night,69.0
154,Hungary,Feeling safe walking alone at night,74.0
155,Iceland,Feeling safe walking alone at night,85.0
156,Ireland,Feeling safe walking alone at night,76.0
157,Italy,Feeling safe walking alone at night,73.0
158,Japan,Feeling safe walking alone at night,77.0
159,Korea,Feeling safe walking alone at night,82.0
160,Luxembourg,Feeling safe walking alone at night,87.0
161,Mexico,Feeling safe walking alone at night,42.0
162,Netherlands,Feeling safe walking alone at night,83.0
163,New Zealand,Feeling safe walking alone at night,66.0
164,Norway,Feeling safe walking alone at night,93.0
165,Poland,Feeling safe walking alone at night,71.0
166,Portugal,Feeling safe walking alone at night,83.0
167,Slovak Republic,Feeling safe walking alone at night,76.0
168,Spain,Feeling safe walking alone at night,80.0
169,Sweden,Feeling safe walking alone at night,79.0
170,Switzerland,Feeling safe walking alone at night,86.0
171,Türkiye,Feeling safe walking alone at night,59.0
172,United Kingdom,Feeling safe walking alone at night,78.0
173,United States,Feeling safe walking alone at night,78.0
174,Brazil,Feeling safe walking alone at night,45.0
175,Chile,Feeling safe walking alone at night,41.0
176,Estonia,Feeling safe walking alone at night,79.0
177,Israel,Feeling safe walking alone at night,80.0
178,Latvia,Feeling safe walking alone at night,72.0
179,Russia,Feeling safe walking alone at night,64.0
180,Slovenia,Feeling safe walking alone at night,91.0
181,South Africa,Feeling safe walking alone at night,40.0
182,OECD - Total,Feeling safe walking alone at night,74.0
261,Austria,Rooms per person,1.6
262,Belgium,Rooms per person,2.1
263,Canada,Rooms per person,2.6
264,Czech Republic,Rooms per person,1.5
265,Denmark,Rooms per person,1.9
266,Finland,Rooms per person,1.9
267,France,Rooms per person,1.8
268,Germany,Rooms per person,1.8
269,Greece,Rooms per person,1.2
270,Hungary,Rooms per person,1.4
271,Iceland,Rooms per person,1.6
