Country,Indicator,Value
Australia,Labour market insecurity,3.1
Austria,Labour market insecurity,2.3
Belgium,Labour market insecurity,2.4
Canada,Labour market insecurity,3.8
Czech Republic,Labour market insecurity,2.3
Denmark,Labour market insecurity,4.5
Finland,Labour market insecurity,2.2
France,Labour market insecurity,3.1
Germany,Labour market insecurity,1.4
Greece,Labour market insecurity,21.7
Hungary,Labour market insecurity,3.8
Iceland,Labour market insecurity,1.0
Ireland,Labour market insecurity,2.6
Italy,Labour market insecurity,8.6
Japan,Labour market insecurity,2.7
Korea,Labour market insecurity,2.9
Luxembourg,Labour market insecurity,2.2
Mexico,Labour market insecurity,4.0
Netherlands,Labour market insecurity,2.5
New Zealand,Labour market insecurity,4.5
Norway,Labour market insecurity,2.8
Poland,Labour market insecurity,5.0
Portugal,Labour market insecurity,8.1
Slovak Republic,Labour market insecurity,8.8
Spain,Labour market insecurity,15.8
Sweden,Labour market insecurity,4.4
Türkiye,Labour market insecurity,13.0
United Kingdom,Labour market insecurity,3.3
United States,Labour market insecurity,4.2
Chile,Labour market insecurity,7.0
Estonia,Labour market insecurity,5.4
Israel,Labour market insecurity,4.6
Latvia,Labour market insecurity,6.3
Slovenia,Labour market insecurity,5.9
OECD - Total,Labour market insecurity,5.1
Australia,Stakeholder engagement for developing regulations,2.7
Austria,Stakeholder engagement for developing regulations,1.3
Belgium,Stakeholder engagement for developing regulations,2.0
Canada,Stakeholder engagement for developing regulations,2.9
Czech Republic,Stakeholder engagement for developing regulations,1.6
Denmark,Stakeholder engagement for developing regulations,2.0
Finland,Stakeholder engagement for developing regulations,2.2
France,Stakeholder engagement for developing regulations,2.1
Germany,Stakeholder engagement for developing regulations,1.8
Greece,Stakeholder engagement for developing regulations,1.8
Hungary,Stakeholder engagement for developing regulations,1.2
Iceland,Stakeholder engagement for developing regulations,2.1
Ireland,Stakeholder engagement for developing regulations,1.3
Italy,Stakeholder engagement for developing regulations,2.5
Japan,Stakeholder engagement for developing regulations,1.4
Korea,Stakeholder engagement for developing regulations,2.9
Luxembourg,Stakeholder engagement for developing regulations,1.7
Mexico,Stakeholder engagement for developing regulations,3.2
Netherlands,Stakeholder engagement for developing regulations,2.6
New Zealand,Stakeholder engagement for developing regulations,2.5
Norway,Stakeholder engagement for developing regulations,2.2
Poland,Stakeholder engagement for developing regulations,2.6
Portugal,Stakeholder engagement for developing regulations,1.5
Slovak Republic,Stakeholder engagement for developing regulations,3.0
Spain,Stakeholder engagement for developing regulations,1.8
Sweden,Stakeholder engagement for developing regulations,2.0
Switzerland,Stakeholder engagement for developing regulations,2.3
Türkiye,Stakeholder engagement for developing regulations,1.5
United Kingdom,Stakeholder engagement for developing regulations,3.1
United States,Stakeholder engagement for developing regulations,3.1
Brazil,Stakeholder engagement for developing regulations,2.2
Chile,Stakeholder engagement for developing regulations,1.3
Estonia,Stakeholder engagement for developing regulations,2.7
Israel,Stakeholder engagement for developing regulations,2.5
Latvia,Stakeholder engagement for developing regulations,2.2
Slovenia,Stakeholder engagement for developing regulations,2.5
